text	label
 He absorbed the knowledge or beliefs of his tribe .	metaphorical
 He absorbed the costs for the accident .	metaphorical
 The sales tax is absorbed into the state income tax .	metaphorical
 The immigrants were quickly absorbed into society .	metaphorical
 Her interest in butterflies absorbs her completely .	metaphorical
 This boss abuses his workers .	literal
 Do n't abuse the system .	metaphorical
 The actress abused the policeman who gave her a parking ticket .	literal
 Her husband often abuses alcohol .	metaphorical
 This hotel can accommodate 250 guests .	literal
 The scientists had to accommodate the new results with the existing theories .	metaphorical
 The program committee acknowledged the submission of the authors of the paper .	literal
 He never acknowledges his colleagues when they run into him in the hallway .	literal
 We must acknowledge the kindness she showed towards us .	literal
 acknowledge the deed .	literal
 The Crown Prince was acknowledged as the true heir to the throne .	literal
 The residents of this village adhered to Catholicism .	metaphorical
 Will this wallpaper adhere to the wall ?	literal
 The steering of my new car answers to the slightest touch .	metaphorical
 answer the telephone .	literal
 The question concerning the meaning of life can not be answered .	literal
 The defendant answered to all the charges of the prosecution .	literal
 We ascended the mountain .	literal
 Inheritance may not ascend linearly .	metaphorical
 The path ascended to the top of the hill .	literal
 Hitler attacked Poland on September 1 , 1939 and started World War II .	literal
 The editors of the left - leaning paper attacked the new House Speaker .	metaphorical
 The Serbs attacked the village at night .	literal
 I attacked the problem as soon as I got out of bed .	metaphorical
 The cancer cells are attacking his liver .	metaphorical
 The Turks besieged Vienna .	literal
 She was besieged by so many problems that she got discouraged .	metaphorical
 The press photographers besieged the movie star .	metaphorical
 The Chinese would bind the feet of their women .	literal
 They bind their books in leather .	literal
 The hydrogen binds the oxygen .	metaphorical
 Meteors blazed across the atmosphere .	metaphorical
 The summer sun alone can cause a pine to blaze .	literal
 The spaceship blazed out into space .	metaphorical
 Her feet blistered during the long hike .	literal
 The Senator blistered the administration in his speech on Friday .	metaphorical
 The haze blurs the hills .	literal
 The fog blurs my vision .	literal
 The distinction between the two theories blurred .	metaphorical
 The listeners bolted when he discussed his strange ideas .	metaphorical
 Do n't bolt your food !	metaphorical
 The tax cut will boost the economy .	metaphorical
 Boost the voltage in an electrical circuit .	literal
 The singer had to be boosted onto the stage by a special contraption .	literal
 The rubber ball bounced .	literal
 The ex - boxer 's job is to bounce people who want to enter this private club .	metaphorical
 The government bowed to the military pressure .	metaphorical
 He breathed new life into the old house .	metaphorical
 Our new synthetic fabric breathes and is perfect for summer wear .	metaphorical
 Johnson brushed the hairs from his jacket .	literal
 He brushed the wall lightly .	literal
 She brushed the suit before hanging it back into the closet .	literal
 Suspense was building right from the beginning of the opera .	metaphorical
 The government is building new schools in this state .	literal
 build a modern nation .	metaphorical
 These architects build in interesting and new styles .	literal
 build a defense on nothing but the accused person 's reputation .	metaphorical
 This sum will buy you a ride on the train .	literal
 She wanted to buy his love with her dedication to him and his work .	literal
 I ca n't buy this story .	metaphorical
 bees were buzzing around the hive .	literal
 Planes buzzed the crowds in the square .	literal
 This office is buzzing with activity .	metaphorical
 he buzzed the servant .	metaphorical
 capture the essence of Spring   .	metaphorical
 She captured all the men 's hearts .	metaphorical
 This nucleus has captured the slow - moving neutrons .	literal
 They clawed their way to the top of the mountain .	metaphorical
 She clawed the doorknob .	metaphorical
 The politician clawed his rival .	metaphorical
 Did you ever climb up the hill behind your house ?	literal
 Sales were climbing after prices were lowered .	metaphorical
 The path climbed all the way to the top of the hill .	metaphorical
 The leaves clog our drains in the Fall .	literal
 horses were clogged until they were tamed .	metaphorical
 The market is being clogged by these operations .	metaphorical
 Fear clogged her mind .	metaphorical
 The smoke clouded above the houses .	literal
 Their faces were clouded with sadness .	metaphorical
 The stroke clouded memories of her youth .	metaphorical
 The chemical clouded the liquid to which it was added .	metaphorical
 His political ideas color his lectures .	metaphorical
 color the walls with paint in warm tones .	literal
 commit a random act of kindness .	literal
 Please communicate this message to all employees .	literal
 He communicated his anxieties to the psychiatrist .	literal
 communicate a disease .	metaphorical
 The rooms communicated .	metaphorical
 John compared his haircut to his friend 's .	literal
 This car does not compare with our line of Mercedes .	literal
 We can compare the Han dynasty to the Romans .	literal
 Greed and ambition composed his personality .	metaphorical
 Beethoven composed nine symphonies .	literal
 Our office is fully computerized now .	literal
 They computerized the car industry .	literal
 condense the contents of a book into a summary .	metaphorical
 The cold air condensed the steam .	literal
 All our planets condensed out of the same material .	literal
 Congress condensed the three - year plan into a six - month plan .	metaphorical
 The comedian convulsed the crowd .	metaphorical
 earthquakes convulsed the countryside .	metaphorical
 The spasm convulses her facial muscles .	literal
 The muscles in her face convulsed .	literal
 The crocodile was crawling along the riverbed .	literal
 My skin crawled -- I was terrified .	metaphorical
 The old cheese was crawling with maggots .	metaphorical
 European children learn the breast stroke ; they often do n't know how to crawl .	literal
 The prince was crowned in Westminster Abbey .	literal
 The speech crowned the meeting .	metaphorical
 A weather vane crowns the building .	metaphorical
 crush an aluminum can .	literal
 The car crushed the toy .	literal
 She was crushed by his refusal of her invitation .	metaphorical
 The plastic bottle crushed against the wall .	literal
 The cigar smoke curled up at the ceiling .	metaphorical
 Curl my hair , please .	literal
 He dashed the plate against the wall .	literal
 dashed ambitions and hopes .	metaphorical
 blue paint dashed with white .	literal
 deflate the air mattress .	literal
 The bad review of his work deflated his self - confidence .	metaphorical
 The new measures deflated the economy .	metaphorical
 deflate the currency .	metaphorical
 The balloons deflated .	literal
 Chanel designed the famous suit .	literal
 She designed a good excuse for not attending classes that day .	metaphorical
 Fire had devoured our home .	metaphorical
 She devoured his novels .	metaphorical
 he devoured three sandwiches .	literal
 I can not digest milk products .	literal
 I can not digest all this information .	metaphorical
 Protein digests in a few hours .	literal
 the government digested the entire law into a code .	metaphorical
 He downed three martinis before dinner .	metaphorical
 Some people can down a pound of meat in the course of one meal .	metaphorical
 The policeman downed the heavily armed suspect .	literal
 The rain water drains into this big vat .	literal
 We drained the oil tank .	literal
 Life in the camp drained him .	metaphorical
 snow drifting several feet high .	literal
 stock prices are drifting higher .	metaphorical
 My son drifted around for years in California before going to law school .	metaphorical
 The unknown young man drifted among the invited guests .	metaphorical
 drift the boats downstream .	literal
 The stock market drifted upward .	metaphorical
 The patient must drink several liters each day .	literal
 The mother drinks in every word of her son on the stage .	metaphorical
 The husband drinks and beats his wife .	literal
 She drowned her trouble in alcohol .	metaphorical
 The child drowned in the lake .	literal
 Age had dulled the surface .	literal
 Middle age dulled her appetite for travel .	metaphorical
 The truck dumped the garbage in the street .	literal
 Suddenly , the proprietor emerged from his office .	literal
 Some nice results emerged from the study .	metaphorical
 The event engraved itself into her memory .	metaphorical
 engrave the pen with the owner 's name .	literal
 Please erase the formula on the blackboard -- it is wrong !	literal
 Who erased the files form my hard disk ?	literal
 Unrest erupted in the country .	metaphorical
 The tooth erupted and had to be extracted .	metaphorical
 A rash erupted on her arms after she had touched the exotic plant .	metaphorical
 We exploded the nuclear bomb .	literal
 The champagne bottle exploded .	literal
 The boss exploded when he heard of the resignation of the secretary .	metaphorical
 The enemy exploded the bridge .	literal
 He fastened the lock onto the door .	literal
 This dress fastens in the back .	literal
 They fastened various nicknames to each other .	metaphorical
 We ferment the grapes for a very long time to achieve high alcohol content .	literal
 fill the child with pride .	metaphorical
 The pool slowly filled with water .	literal
 The liquid fills the container .	literal
 The bird flapped its wings .	literal
 Every star seemed to flare with new intensity .	metaphorical
 The lights were flashing .	literal
 The latest intelligence is flashed to all command posts .	metaphorical
 he flashed a $ 100 bill .	metaphorical
 A shooting star flashed and was gone .	literal
 He floated the logs down the river .	literal
 The Republicans are floating the idea of a tax reform .	metaphorical
 The dancer floated across the stage .	metaphorical
 The government floated the ruble for a few months .	metaphorical
 The swollen river flooded the village .	literal
 flood the market with tennis shoes .	metaphorical
 Our basement flooded during the heavy rains .	literal
 The crowd flowed out of the stadium .	metaphorical
 Water flowed into the cave .	literal
 The champagne flowed at the wedding .	metaphorical
 The garbage flushed down the river .	literal
 the sky flushed with rosy splendor .	metaphorical
 flush the wound with antibiotics .	metaphorical
 form the young child 's character .	metaphorical
 the water formed little beads .	literal
 This writer really fractures the language .	metaphorical
 These events could fracture the balance of power .	metaphorical
 The pothole fractured a bolt on the axle .	literal
 fuel aircraft , ships , and cars .	literal
 The tanker fueled in Bahrain .	literal
 fuel the debate on creationism .	metaphorical
 The press was gagged .	metaphorical
 The horse was galloping along .	literal
 The girl glared at the man who tried to make a pass at her .	literal
 The moon glared back at itself from the lake 's surface .	metaphorical
 The sun glared down on us .	metaphorical
 The fireflies were glowing and flying about in the garden .	literal
 Her face glowed when she came out of the sauna .	metaphorical
 The coals were glowing in the dark .	literal
 Make the people 's hearts glow .	metaphorical
 The passenger grabbed for the oxygen mask .	literal
 She grabbed the child 's hand and ran out of the room .	literal
 This story will grab you .	metaphorical
 The conversation gravitated towards politics .	metaphorical
 Boys gravitate towards girls at that age .	metaphorical
 The stars gravitate towards each other .	literal
 grind the spices in a mortar .	literal
 His mind groped to make the connection .	metaphorical
 He made some sexual advances at the woman in his office and groped her repeatedly .	literal
 There will be men guarding the horses .	literal
 Please guard my possessions while I 'm away .	literal
 This vaccine will guard you against infection .	metaphorical
 The cooling lava continued to gutter toward lower ground .	literal
 Tears guttered down her face .	metaphorical
 The heavy rain guttered the soil .	literal
 The roofer began to gutter the buildings .	literal
 The colors do n't harmonize .	metaphorical
 harmonize one 's goals with one 's abilities .	metaphorical
 He heaped him with work .	metaphorical
 heap firewood around the fireplace .	literal
 heap the platter with potatoes .	literal
 Goering often hunted wild boars in Poland .	literal
 They hunted the unwanted immigrants out of the neighborhood .	metaphorical
 The oscillator hunts about the correct frequency .	metaphorical
 This exercise will hurt your back .	literal
 Our business was hurt by the new competition .	metaphorical
 Great heat can ignite almost any dry matter .	literal
 Marsh gases ignited suddenly .	literal
 The ostentatious way of living of the rich ignites the hatred of the poor .	metaphorical
 only few plants can immigrate to the island .	metaphorical
 Many people immigrated at the beginning of the 20th century .	literal
 She inclined her head to the student .	literal
 Their language inclines us to believe them .	metaphorical
 Your children have infected you with this head cold .	literal
 society was infected by racism .	metaphorical
 His laughter infects everyone who is in the same room .	metaphorical
 The charges were inflated .	metaphorical
 The war inflated the economy .	metaphorical
 inflate the currency .	metaphorical
 I inherited a castle from my French grandparents .	literal
 The new chairman inherited many problems from the previous chair .	metaphorical
 I inherited my good eyesight from my mother .	literal
 We injected the glucose into the patient 's vein .	literal
 He injected new life into the performance .	metaphorical
 inject hydrogen into the balloon .	literal
 We interrupt the program for the following messages .	literal
 She interrupted her pregnancy .	metaphorical
 Hitler invaded Poland on September 1 , 1939 .	literal
 This new colleague invades my territory .	metaphorical
 The cancer had invaded her lungs .	metaphorical
 The driver jammed the brake pedal to the floor .	literal
 the mechanism jammed .	literal
 juggle an account so as to hide a deficit .	metaphorical
 She had to juggle her job and her children .	metaphorical
 the player juggled the ball .	literal
 key one 's actions to the voters ' prevailing attitude .	metaphorical
 The boy kicked the dog .	literal
 The gun kicked back into my shoulder .	literal
 He kited many checks .	metaphorical
 The businessman kited millions of dollars .	metaphorical
 The pilot kited for a long time over the mountains .	literal
 The bird landed on the highest branch .	literal
 the pilot managed to land the airplane safely .	literal
 this may land you in jail .	metaphorical
 The drug smugglers landed the heroin on the beach of the island .	literal
 He landed several blows on his opponent 's head .	metaphorical
 The ship landed in Pearl Harbor .	literal
 lay the books on the table .	literal
 lay the foundation for a new health care plan .	metaphorical
 lay a responsibility on someone .	metaphorical
 The news were leaked to the paper .	metaphorical
 Water leaked out of the can into the backpack .	literal
 The container leaked gasoline .	literal
 He leaned his rifle against the wall .	literal
 I will lend you my car .	literal
 This story would lend itself well to serialization on television .	metaphorical
 level criticism or charges at somebody .	metaphorical
 The building was levelled .	literal
 The ground levelled off .	literal
 The fate of Bosnia lies in the hands of the West .	metaphorical
 the conversation lightened me up a bit .	metaphorical
 she lightened the load on the tired donkey .	literal
 The room lightened up .	literal
 trees line the riverbank .	metaphorical
 sorrow had lined his face .	metaphorical
 lined books are more enduring .	literal
 load the truck with hay .	literal
 He loaded his gun carefully .	literal
 load the bags onto the trucks .	literal
 Lock the bike to the fence !	literal
 The therapist noticed that the patient 's knees tended to lock in this exercise .	literal
 He locked his hands around her neck .	metaphorical
 He was locked in a laughing fit .	metaphorical
 She locked her jewels in the safe .	literal
 The bicycle looped around the tree .	metaphorical
 The stunt pilot looped his plane .	literal
 map the surface of Venus .	literal
 We have n't even begun to map the many galaxies that we know exist .	literal
 sorrow was mapped on the mother 's face .	metaphorical
 The Japanese marched their prisoners through Manchuria .	literal
 The company matched the employees ' contributions .	metaphorical
 This job does n't match my dreams .	metaphorical
 Let them match their best athletes against ours .	metaphorical
 The two pieces match .	literal
