text	label
poise is a club .	metaphorical
destroying alexandria . sunlight is silence	metaphorical
feet are no anchor . gravity sucks at the mind	metaphorical
on the day 's horizon is a gesture of earth	metaphorical
he said good-by as if good-by is a number .	metaphorical
although your eyes be lakes , dies	metaphorical
ways ! as if the world were a taxi , you enter it , then	metaphorical
the poet is a man who feigns	literal
man is an animal that needs a warden	metaphorical
my name is james a . wright , and i was born	literal
earth is a door i cannot even face .	metaphorical
the hackles on my neck are fear , not grief .	metaphorical
the moon is a sow	metaphorical
earth is the birth of the blues ,  sang yellow bertha ,	metaphorical
about the nature of understanding . no one is that simple	literal
the real terror of nature is humanity enraged , the true	metaphorical
love is a word another kind of open --	metaphorical
your goodbye is a promise of lightning	metaphorical
his broken body is the afterimage of my 21st year	metaphorical
my eyes are caves , chunks of etched rock	metaphorical
the sky is baby blue , and the just-unfurling leaves	literal
down the road is somebody small on the shoulder ,	literal
i wrote life was a strain . later , someone crossed it out .	metaphorical
it is clear that mr . haggard is ryder 's brother !	literal
the mind is a city like london ,	metaphorical
-- the others were the despots of despair --	metaphorical
knowing intuitively how a sense of humor was a necessity	literal
your guilt is nameless , because its name is time ,	metaphorical
because its name is death . but you can stop	metaphorical
hamlet is the example ; only dying	literal
the sun is a yellowjacket	metaphorical
love is a fiction i must use ,	metaphorical
and people are home for the homecomings .	literal
yet life is the invocation sealed in the coffin ,	metaphorical
this swift darkness is spring 's first hour .	metaphorical
the trees are crystal chandeliers ,	metaphorical
but still the branches are wire	metaphorical
the deer are ghosts who slip between the light	metaphorical
the gray snow in the cemetery was sheet tin . if i said	metaphorical
and spades are spades and clubs are clovers ?black .	literal
the lean monk-copyist who scribes the books is slate-blue at his fingertips	literal
whose talisman is a phoenix	literal
whose emblem is the rock of gibraltar --	literal
machines are the animals of the americans --	metaphorical
man is a speech	metaphorical
where books were trees .	metaphorical
where trees were books .	metaphorical
underwear is something	literal
john henry was a man just six feet high ,	literal
" a man is nothing but a man ,	literal
his heart was all a-flutter .	literal
lifted , as we say , since words are a weight , and music .	metaphorical
in vapor was the ocean 's presence , ghost	metaphorical
what use are books to me	literal
to them lead floats , a leaf sinks . their god is the size	metaphorical
the night is each man 's castle .	metaphorical
that all recurring joy is pain refined ,	metaphorical
in june the sun is a bonnet of light	metaphorical
this afternoon was the colour of water falling through sunlight ;	metaphorical
of hills is a kind of waiting .	metaphorical
if the world is a dream ,	metaphorical
and the rich in connecticut are dreamers .	literal
swelling lukewarm ; her mouth is water ,	metaphorical
how can i tell you my mind is a blanket ?	metaphorical
what i like about impermanence is the clash	literal
that nighttime & meditation are a mirage	metaphorical
& yet the earth is divinity , the sky is divinity	literal
& yet the earth is divinity , the sky is divinity	literal
which constant spirits are the keepers of ,	literal
mine was the scene	literal
but the breeze of dawn is the angel of death .	metaphorical
you ca n't get lost . home is the place they cross .	literal
and he was a maker , his sausage was echt	literal
i learned what the selves are a man can disown	literal
see shopping is an art form	metaphorical
my only other callers were the fbi	literal
if you are with them , if even mind is friend ,	metaphorical
of my window and survive ( the body is no illusion	metaphorical
this crushing of people is something we live with .	literal
the ocean was salt before we crawled to tears .	metaphorical
each face in the street is a slice of bread	metaphorical
my chest was all thunder .	metaphorical
through ivory our dreams are will-o'-the-wisps , scant	metaphorical
soldiers are citizens of death 's grey land ,	metaphorical
soldiers are dreamers ; when the guns begin	literal
the wind was a torrent of darkness among the gusty trees .	metaphorical
the road was a ribbon of moonlight over the purple moor ,	metaphorical
his eyes were hollows of madness , his hair like mouldy hay ,	metaphorical
when the road was a gypsy 's ribbon , looping the purple moor ,	metaphorical
when the road is a ribbon of moonlight over the purple moor ,	metaphorical
the watchman 's upper slopes were shadows , green	metaphorical
-- your mind is water through an april night ,	metaphorical
whose hideous laughter is a bellows mirth	metaphorical
as though a god were issue of the strings . . . .	literal
whose fell unshadow is death 's utter wound , --	metaphorical
we are driving slowly , the road is glass .	metaphorical
even memory is a stranger .	metaphorical
`the countess cathleen' was the name i gave it ,	literal
the laugh was a cry from my own	metaphorical
in the field is a house	literal
hope is command . your hand	metaphorical
their country is a nation on no map .	metaphorical
blacktime is time for chimeful	literal
shaving lotion , as if the stuff were scotch ,	metaphorical
our effort to remake the found world as the lost reverie is desire .	metaphorical
his literature is lives , is deif smiling :	metaphorical
he speaks : his fiat is a fiat ,	literal
whitman 's father was a carpenter .	literal
that all workmen are singers .	literal
to other laws : weight is the measure of"	literal
unclean is the nature and name of the enchantment .	literal
going to bed was a journey .	metaphorical
the fateful masks are faces , gods are men ;	metaphorical
the telephone is flaubert 's parrot and it flitters	metaphorical
of her . the telephone is the guignol of	metaphorical
city of rock and ice , that men are freaks ,	literal
it is not you i love ?it is the form	literal
the thought of death is peppermint to you	metaphorical
scarce fresher is the mountain-sod	literal
but , ah ! its heart , its heart was stone ,	metaphorical
but for peace her soul was yearning ,	literal
"o sohrab , an unquiet heart is thine !	literal
whose culture is the brethren 's care ;	literal
and what sedged brooks are thames 's tributaries ;	literal
thy rights are empire : urge no meaner claim , --	metaphorical
answer 'd the lovely maid and said : i am a watry weed ,"	metaphorical
and their ways are fill 'd with thorns .	metaphorical
his breast is love 's all worship 'd tomb ,	metaphorical
" no peace be thine ,  exclaimed , ""away , away ! """	literal
inventing one . in brief , all arts are mine ;	literal
outside was all noon and the burning blue .	literal
i am the resurrection and the life . 	literal
take away love , and our earth is a tomb !	metaphorical
first , every sort of monk , the black and whitethe black and the white black friars are dominicans ; white friars are carmelites ,	literal
his name is guidi -- he 'll not mind the monks --	literal
no! yonder sparkle is the citadel 's	literal
our low life was the level 's and the night 's ;	literal
what matter to me if their star is a world ?	metaphorical
and with god be the rest !	literal
what , they lived once thus at venice where the merchants were the kings ,	metaphorical
that fate is thine -- no distant date ;	literal
